[2025-09-20T19:47:09.183+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-09-20T19:47:09.208+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Orders scheduled__2024-01-01T00:00:00+00:00 [queued]>
[2025-09-20T19:47:09.219+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Orders scheduled__2024-01-01T00:00:00+00:00 [queued]>
[2025-09-20T19:47:09.220+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 3
[2025-09-20T19:48:47.279+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 210,000
[2025-09-20T19:48:47.627+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 15 with 15000 rows
[2025-09-20T19:48:51.815+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 225,000
[2025-09-20T19:48:52.112+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 16 with 15000 rows
[2025-09-20T19:48:59.806+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 240,000
[2025-09-20T19:49:00.098+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 17 with 15000 rows
[2025-09-20T19:49:04.137+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 255,000
[2025-09-20T19:49:04.454+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 18 with 15000 rows
[2025-09-20T19:49:09.449+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 270,000
[2025-09-20T19:49:09.784+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 19 with 15000 rows
[2025-09-20T19:49:14.094+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 285,000
[2025-09-20T19:49:14.394+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 20 with 15000 rows
[2025-09-20T19:49:18.723+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 300,000
[2025-09-20T19:49:18.989+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 21 with 15000 rows
[2025-09-20T19:49:23.096+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 315,000
[2025-09-20T19:49:23.365+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 22 with 15000 rows
[2025-09-20T19:49:26.817+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 330,000
[2025-09-20T19:49:27.075+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 23 with 15000 rows
[2025-09-20T19:49:33.878+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 345,000
[2025-09-20T19:49:34.195+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 24 with 15000 rows
[2025-09-20T19:49:37.819+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 360,000
[2025-09-20T19:49:38.116+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 25 with 15000 rows
[2025-09-20T19:49:42.202+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 375,000
[2025-09-20T19:49:42.592+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 26 with 15000 rows
[2025-09-20T19:49:46.573+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 390,000
[2025-09-20T19:49:46.874+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 27 with 15000 rows
[2025-09-20T19:49:50.599+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 405,000
[2025-09-20T19:49:50.958+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 28 with 15000 rows
[2025-09-20T19:49:55.807+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 420,000
[2025-09-20T19:49:56.113+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 29 with 15000 rows
[2025-09-20T19:50:00.696+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 435,000
[2025-09-20T19:50:00.975+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 30 with 15000 rows
[2025-09-20T19:50:08.550+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 450,000
[2025-09-20T19:50:08.818+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 31 with 15000 rows
[2025-09-20T19:50:12.469+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 465,000
[2025-09-20T19:50:12.748+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 32 with 15000 rows
[2025-09-20T19:50:15.788+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 480,000
[2025-09-20T19:50:16.052+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 33 with 15000 rows
[2025-09-20T19:50:19.186+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 495,000
[2025-09-20T19:50:19.426+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 34 with 15000 rows
[2025-09-20T19:50:23.264+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 510,000
[2025-09-20T19:50:23.571+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 35 with 15000 rows
[2025-09-20T19:50:27.248+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 525,000
[2025-09-20T19:50:27.555+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 36 with 15000 rows
[2025-09-20T19:50:31.355+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 540,000
[2025-09-20T19:50:31.617+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 37 with 15000 rows
[2025-09-20T19:50:35.378+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 555,000
[2025-09-20T19:50:35.663+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 38 with 15000 rows
[2025-09-20T19:50:39.810+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 570,000
[2025-09-20T19:50:43.693+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 39 with 15000 rows
[2025-09-20T19:50:47.844+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 585,000
[2025-09-20T19:50:48.198+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 40 with 15000 rows
[2025-09-20T19:50:52.932+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 600,000
[2025-09-20T19:50:53.307+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 41 with 15000 rows
[2025-09-20T19:50:59.252+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 615,000
[2025-09-20T19:50:59.565+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 42 with 15000 rows
[2025-09-20T19:51:03.108+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 630,000
[2025-09-20T19:51:03.432+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 43 with 15000 rows
[2025-09-20T19:51:06.926+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 645,000
[2025-09-20T19:51:07.190+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 44 with 15000 rows
[2025-09-20T19:51:10.787+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 660,000
[2025-09-20T19:51:11.208+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 45 with 15000 rows
[2025-09-20T19:51:14.704+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 675,000
[2025-09-20T19:51:14.951+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 46 with 15000 rows
[2025-09-20T19:51:22.327+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 690,000
[2025-09-20T19:51:22.566+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 47 with 15000 rows
[2025-09-20T19:51:26.152+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 705,000
[2025-09-20T19:51:26.395+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 48 with 15000 rows
[2025-09-20T19:51:29.755+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 720,000
[2025-09-20T19:51:29.997+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 49 with 15000 rows
[2025-09-20T19:51:33.630+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 735,000
[2025-09-20T19:51:33.935+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 50 with 15000 rows
[2025-09-20T19:51:37.991+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 750,000
[2025-09-20T19:51:38.230+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 51 with 15000 rows
[2025-09-20T19:51:41.720+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 765,000
[2025-09-20T19:51:42.000+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 52 with 15000 rows
[2025-09-20T19:51:45.648+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 780,000
[2025-09-20T19:51:45.932+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 53 with 15000 rows
[2025-09-20T19:51:49.575+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 795,000
[2025-09-20T19:51:49.881+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 54 with 15000 rows
[2025-09-20T19:51:57.683+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 810,000
[2025-09-20T19:51:57.924+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 55 with 15000 rows
[2025-09-20T19:52:01.920+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 825,000
[2025-09-20T19:52:02.185+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 56 with 15000 rows
[2025-09-20T19:52:05.964+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 840,000
[2025-09-20T19:52:06.234+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 57 with 15000 rows
[2025-09-20T19:52:10.580+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 855,000
[2025-09-20T19:52:10.953+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 58 with 15000 rows
[2025-09-20T19:52:14.941+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 870,000
[2025-09-20T19:52:15.219+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 59 with 15000 rows
[2025-09-20T19:52:19.590+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 885,000
[2025-09-20T19:52:19.841+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 60 with 15000 rows
[2025-09-20T19:52:23.789+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 900,000
[2025-09-20T19:52:24.099+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 61 with 15000 rows
[2025-09-20T19:52:31.208+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 915,000
[2025-09-20T19:52:31.452+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 62 with 15000 rows
[2025-09-20T19:52:35.061+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 930,000
[2025-09-20T19:52:35.304+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 63 with 15000 rows
[2025-09-20T19:52:38.944+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 945,000
[2025-09-20T19:52:39.239+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 64 with 15000 rows
[2025-09-20T19:52:43.043+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 960,000
[2025-09-20T19:52:43.339+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 65 with 15000 rows
[2025-09-20T19:52:47.221+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 975,000
[2025-09-20T19:52:47.554+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 66 with 15000 rows
[2025-09-20T19:52:51.563+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 990,000
[2025-09-20T19:52:51.844+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 67 with 15000 rows
[2025-09-20T19:52:55.343+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,005,000
[2025-09-20T19:52:55.709+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 68 with 15000 rows
[2025-09-20T19:52:59.506+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,020,000
[2025-09-20T19:52:59.780+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 69 with 15000 rows
[2025-09-20T19:53:03.347+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,035,000
[2025-09-20T19:53:07.228+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 70 with 15000 rows
[2025-09-20T19:53:11.009+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,050,000
[2025-09-20T19:53:11.246+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 71 with 15000 rows
[2025-09-20T19:53:14.830+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,065,000
[2025-09-20T19:53:15.136+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 72 with 15000 rows
[2025-09-20T19:53:18.559+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,080,000
[2025-09-20T19:53:18.825+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 73 with 15000 rows
[2025-09-20T19:53:22.929+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,095,000
[2025-09-20T19:53:23.235+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 74 with 15000 rows
[2025-09-20T19:53:27.486+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,110,000
[2025-09-20T19:53:27.795+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 75 with 15000 rows
[2025-09-20T19:53:31.607+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,125,000
[2025-09-20T19:53:31.859+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 76 with 15000 rows
[2025-09-20T19:53:35.917+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,140,000
[2025-09-20T19:53:36.163+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 77 with 15000 rows
[2025-09-20T19:53:43.462+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,155,000
[2025-09-20T19:53:43.726+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 78 with 15000 rows
[2025-09-20T19:53:47.631+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,170,000
[2025-09-20T19:53:47.930+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 79 with 15000 rows
[2025-09-20T19:53:51.972+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,185,000
[2025-09-20T19:53:52.274+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 80 with 15000 rows
[2025-09-20T19:53:56.609+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,200,000
[2025-09-20T19:53:56.913+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 81 with 15000 rows
[2025-09-20T19:54:01.726+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,215,000
[2025-09-20T19:54:02.057+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 82 with 15000 rows
[2025-09-20T19:54:06.707+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,230,000
[2025-09-20T19:54:07.064+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 83 with 15000 rows
[2025-09-20T19:54:12.976+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,245,000
[2025-09-20T19:54:13.360+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 84 with 15000 rows
[2025-09-20T19:54:23.365+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,260,000
[2025-09-20T19:54:23.896+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 85 with 15000 rows
[2025-09-20T19:54:31.489+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,275,000
[2025-09-20T19:54:32.078+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 86 with 15000 rows
[2025-09-20T19:54:41.108+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,290,000
[2025-09-20T19:54:41.642+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 87 with 15000 rows
[2025-09-20T19:54:46.021+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,305,000
[2025-09-20T19:54:46.269+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 88 with 15000 rows
[2025-09-20T19:54:49.650+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,320,000
[2025-09-20T19:54:50.000+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 89 with 15000 rows
[2025-09-20T19:54:57.269+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,335,000
[2025-09-20T19:54:57.625+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 90 with 15000 rows
[2025-09-20T19:55:01.374+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,350,000
[2025-09-20T19:55:01.710+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 91 with 15000 rows
[2025-09-20T19:55:05.032+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 1,365,000
[2025-09-20T19:55:05.270+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 92 with 15000 rows
